"Industry","Ticker","Exchange","Stock Name","URL","Link"
"basicmaterials","00857.HK","hongkong","PetroChina Co Ltd","https://www.etoro.com/markets/00857.HK","Link"
"basicmaterials","0386.HK","hongkong","China Petroleum & Chemical Corporation","https://www.etoro.com/markets/0386.HK","Link"
"basicmaterials","03993.HK","hongkong","China Molybdenum Co Ltd","https://www.etoro.com/markets/03993.HK","Link"
"basicmaterials","0883.HK","hongkong","Cnooc","https://www.etoro.com/markets/0883.HK","Link"
"basicmaterials","0968.HK","hongkong","Xinyi Solar Holdings Ltd","https://www.etoro.com/markets/0968.HK","Link"
"basicmaterials","1088.HK","hongkong","China Shenhua","https://www.etoro.com/markets/1088.HK","Link"
"basicmaterials","1171.HK","hongkong","Yanzhou Coal","https://www.etoro.com/markets/1171.HK","Link"
"basicmaterials","1898.HK","hongkong","China Coal Energy","https://www.etoro.com/markets/1898.HK","Link"
"basicmaterials","1COV.DE","frankfurt","Covestro","https://www.etoro.com/markets/1COV.DE","Link"
"basicmaterials","2883.HK","hongkong","China Oilfield","https://www.etoro.com/markets/2883.HK","Link"
"basicmaterials","2899.HK","hongkong","Zijin Mining","https://www.etoro.com/markets/2899.HK","Link"
"basicmaterials","3800.HK","hongkong","GCL Technology Holdings Ltd","https://www.etoro.com/markets/3800.HK","Link"
"basicmaterials","AA","nyse","Alcoa","https://www.etoro.com/markets/AA","Link"
"basicmaterials","AAL.L","london","Anglo American","https://www.etoro.com/markets/AAL.L","Link"
"basicmaterials","ACX.MC","bolsademadrid","Acerinox SA","https://www.etoro.com/markets/ACX.MC","Link"
"basicmaterials","AEM","nyse","Agnico Eagle Mines Ltd","https://www.etoro.com/markets/AEM","Link"
"basicmaterials","AG","nyse","First Majestic Silver Corp","https://www.etoro.com/markets/AG","Link"
"basicmaterials","AGI","nyse","Alamos Gold Inc","https://www.etoro.com/markets/AGI","Link"
"basicmaterials","AKE.PA","paris","Arkema","https://www.etoro.com/markets/AKE.PA","Link"
"basicmaterials","AKSO.OL","oslo","Aker Solutions","https://www.etoro.com/markets/AKSO.OL","Link"
"basicmaterials","AKZA.NV","amsterdam","Akzo Nobel NV","https://www.etoro.com/markets/AKZA.NV","Link"
"basicmaterials","AMG.NV","amsterdam","AMG Advanced Metallurgical Group NV","https://www.etoro.com/markets/AMG.NV","Link"
"basicmaterials","AMRS","nasdaq","Amyris Inc","https://www.etoro.com/markets/AMRS","Link"
"basicmaterials","ANTO.L","london","Antofagasta","https://www.etoro.com/markets/ANTO.L","Link"
"basicmaterials","APA","nasdaq","APA Corporation","https://www.etoro.com/markets/APA","Link"
"basicmaterials","APD","nyse","Air Products & Chemicals Inc","https://www.etoro.com/markets/APD","Link"
"basicmaterials","ARNC","nyse","Arconic Corporation","https://www.etoro.com/markets/ARNC","Link"
"basicmaterials","ARRY","nasdaq","Array Technologies Inc","https://www.etoro.com/markets/ARRY","Link"
"basicmaterials","ASH","nyse","Ashland Inc","https://www.etoro.com/markets/ASH","Link"
"basicmaterials","AU","nyse","AngloGold Ashanti Ltd","https://www.etoro.com/markets/AU","Link"
"basicmaterials","AUY","nyse","Yamana Gold Inc","https://www.etoro.com/markets/AUY","Link"
"basicmaterials","AXTA","nyse","Axalta Coating Systems","https://www.etoro.com/markets/AXTA","Link"
"basicmaterials","BAS.DE","frankfurt","BASF SE","https://www.etoro.com/markets/BAS.DE","Link"
"basicmaterials","BCPC","nasdaq","Balchem Corporation","https://www.etoro.com/markets/BCPC","Link"
